,Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Proper Motion,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Error (Lower),Star Mass Error (Upper),Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Distance Error (Lower),Distance Error (Upper),Parallax Error (Lower),Parallax Error (Upper),Semi-Major Axis (AU)
0,OGLE-TR-10 b,b,OGLE-TR-10,3.101278,0.82,90.0,14.011,0.4,1702.0,,1.21,3.072,1.14,5950.0,0.188,1.17,3.1,0.28,1344.97,0.72138,5.1852878,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,Transit,2004,2005-05,15,4,0,0,267.8677483,-29.8764758,359.85149,-1.57666,1.569,-1.345,0.0,0.12,,0.0,0.13,,0.0,3.3,-0.7,0.0,111.665,-111.665,0.0597319,-0.0597319,0.0434
1,BD-08 2823 c,c,BD-08 2823,237.6,0.19,,12.5,0.293,,,,,0.74,4746.0,-0.625967455100638,0.71607995,4.5,-0.07,41.3342,24.1641,376.3791094,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,Radial Velocity,2009,2010-03,1,1,0,0,150.1971964,-9.5165689,248.49513,34.75486,,,0.0,0.07,-0.07,0.0,0.0162963,-0.0173716,0.0,4.0,-4.0,0.0,0.0685,-0.0682,0.0397137,-0.0397137,0.68
2,HD 110014 b,b,HD 110014,835.477,0.462,,12.4,10.2,,,,,2.17,4445.0,2.30408167634065,20.9,0.95,0.19,100.758,9.90259,80.7669238,<a refstr=DE_MEDEIROS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...504..617D/abstract target=ref> de Medeiros et al. 2009 </a>,Radial Velocity,2009,2009-09,1,0,0,0,189.8111935,-7.9956702,297.69653,54.75208,,,0.0,0.28,-0.28,0.0,1.1,-1.1,0.0,0.4,-0.4,0.0,1.97315,-1.97315,0.192772,-0.192772,2.14
3,GJ 667 C f,f,GJ 667 C,39.026,0.03,,1.45,4.87,,,,,0.33,3350.0,-1.863,,2.0,-0.55,7.24396,138.017,1151.9552244,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,Radial Velocity,2013,2013-08,0,0,2,0,259.7510609,-34.9977651,351.84167,1.41002,,,0.0,0.02,-0.02,0.0,,,,,,-1.0,0.00486,-0.00485,0.0918438,-0.0918438,0.156
4,GJ 667 C g,g,GJ 667 C,256.2,0.08,,1.99,3.21,,,,,0.33,3350.0,-1.863,,2.0,-0.55,7.24396,138.017,1151.9552244,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,Radial Velocity,2013,2013-08,0,0,2,0,259.7510609,-34.9977651,351.84167,1.41002,,,0.0,0.02,-0.02,0.0,,,,,,-1.0,0.00486,-0.00485,0.0918438,-0.0918438,0.549
5,GJ 667 C c,c,GJ 667 C,28.14,0.02,,1.77,3.77,,,,,0.33,3350.0,-1.863,,2.0,-0.55,7.24396,138.017,1151.9552244,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,Radial Velocity,2013,2013-08,0,0,2,0,259.7510609,-34.9977651,351.84167,1.41002,,,0.0,0.02,-0.02,0.0,,,,,,-1.0,0.00486,-0.00485,0.0918438,-0.0918438,0.125
6,KOI-13 b,b,KOI-13,1.763588,0.00064,86.77,16.948,3.6,2550.0,25339.901,0.45906,3.16877,1.72,7650.0,0.971,1.74,1.12,0.2,519.096,1.9053,16.381947,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,Transit,2011,2011-07,0,0,0,0,286.9713876,46.8682463,77.5059,16.80645,0.392,-0.392,0.0,0.1,-0.1,0.0,0.04,-0.04,0.0,0.13,-0.07,0.0,30.703,-27.506,0.105052,-0.105052,0.03641
7,KELT-7 b,b,KELT-7,2.73477,0.0,83.76,17.934,0.442,2048.0,1794.42,0.83,3.5112,1.76,6768.0,0.758,1.81,1.3,0.0,136.681,7.28791,50.8996424,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Transit,2015,2015-07,1,0,0,0,78.2955912,33.3179532,172.51277,-3.36514,0.673,-0.673,0.0,0.25,-0.25,0.0,0.07,-0.07,0.0,0.2,-0.2,0.0,0.938,-0.924,0.0494622,-0.0494622,0.04415
8,HATS-61 b,b,HATS-61,7.817953,0.092,87.15,13.395,2.47,1226.1,374.2,0.365,5.5296,1.08,5542.0,0.369,1.66,8.9,0.247,679.761,1.44214,10.6687361,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit,2018,2019-02,0,0,0,0,61.6578005,-25.3496674,222.08862,-46.47071,0.751,-0.751,0.0,0.01,-0.01,0.0,0.02,-0.02,0.0,0.31,-0.41,0.0,8.732,-8.518,0.0185269,-0.0185269,0.07908
9,HATS-63 b,b,HATS-63,3.0566527,0.136,84.86,13.529,0.67,1398.3,634.1,1.25175203529171,2.448,0.93,5627.0,0.012,1.07,10.3,0.081,623.232,1.5756,17.7745928,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit,2018,2019-02,0,0,0,0,67.418582,-28.1972149,227.5666,-42.08891,0.437,-0.437,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,1.1,-1.1,0.0,6.092,-5.977,0.0154207,-0.0154207,0.04026
10,HD 108236 c,c,HD 108236,6.203449,0.034,88.3,2.071,3.06,932.0,162.167509425773,0.0469,2.86,0.87,5660.0,-0.15,0.88,6.7,-0.28,64.5978,15.4517,86.2990183,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,Transit,2020,2021-02,1,0,0,0,186.5740627,-51.3630519,298.93443,11.31345,0.052,-0.052,0.0,0.05,-0.05,0.0,0.01,-0.01,0.0,4.0,-5.1,0.0,0.1943,-0.1932,0.0460761,-0.0460761,0.062
11,TOI-1224 b,b,TOI-1224,4.1782745,,89.19,2.104,3.0,541.0,13.9295288437077,0.228,1.67590401611464,0.4,3326.0,-1.697,0.4,0.21,,37.3312,26.7584,162.1555329,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,Transit,2024,2024-07,0,0,0,0,37.1978356,-80.8991053,298.34809,-35.34548,0.094,-0.091,0.0,0.01,-0.01,0.0,0.01,-0.01,0.0,0.027,-0.027,0.0,0.0601,-0.0599,0.0427381,-0.0427381,0.0355
12,TOI-1224 c,c,TOI-1224,17.945466,0.0,,2.884,1.99,303.122687619849,1.99523830301101,0.54806848639995,3.07400719591409,0.4,3326.0,-1.697,0.4,0.21,,37.3312,26.7584,162.1555329,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,Transit,2024,2024-07,0,0,0,0,37.1978356,-80.8991053,298.34809,-35.34548,0.098,-0.098,0.0,0.01,-0.01,0.0,0.01,-0.01,0.0,0.027,-0.027,0.0,0.0601,-0.0599,0.0427381,-0.0427381,
13,HD 48948 b,b,HD 48948,7.34013,0.055,,2.06,3.07,957.0,138.85,,,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,482.4922225,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,,,0.0,0.02,-0.01,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,0.019,-0.0189,0.0659227,-0.0659227,0.0652
14,HD 48948 c,c,HD 48948,38.06,0.55,,2.6,2.27,553.0,15.5,,,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,482.4922225,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,,,0.0,0.02,-0.01,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,0.019,-0.0189,0.0659227,-0.0659227,0.1951
15,HD 48948 d,d,HD 48948,151.92,0.055,,3.24,1.71,349.0,2.46,,,0.69,4593.0,-0.78884954526911,0.68,11.48,-0.21,16.9043,59.1275,482.4922225,<a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>,Radial Velocity,2024,2024-07,1,0,1,0,102.489811,60.3373133,155.49874,23.16543,,,0.0,0.02,-0.01,0.0,0.0,-0.0,0.0,1.93,-4.67,0.0,0.019,-0.0189,0.0659227,-0.0659227,0.4894
16,WASP-76 b,b,WASP-76,1.80988198,0.0,89.623,20.781,0.17,2228.0,4104.0,1.178,3.8,1.46,6329.0,0.65417654187796,1.76,1.816,0.366,194.459,5.12043,61.0509847,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,Transit,2016,2016-01,0,0,0,0,26.632936,2.700389,149.08514,-57.34698,0.863,-0.852,0.0,0.02,-0.02,0.0,0.07,-0.07,0.0,0.274,-0.274,0.0,6.206,-5.839,0.157874,-0.157874,0.033
17,OGLE-2014-BLG-0221L b,b,OGLE-2014-BLG-0221L,,,,12.9,3.54,,,,,0.69,,,,,,3680.0,,,<a refstr=KIRIKAWA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..154K/abstract target=ref>Kirikawa et al. 2024</a>,Microlensing,2024,2024-04,0,0,0,0,270.30375,-27.4267639,3.04491,-2.19528,,,0.0,0.26,-0.3,0.0,,,,,,,1130.0,-1160.0,,,3.76
18,PDS 70 b,b,PDS 70,43500.0,0.19,140.0,30.488,0.185,1204.0,,,,0.76,3972.0,-0.455931955649724,1.26,0.005,-0.11,113.064,8.81593,38.0431872,<a refstr=WANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..263W/abstract target=ref>Wang et al. 2020</a>,Imaging,2018,2018-09,0,0,0,1,212.0421402,-41.3980405,318.06196,19.20844,2.242,-1.906,0.0,0.02,-0.02,0.0,0.15,-0.15,0.0,0.001,-0.001,0.0,0.523,-0.519,0.0404722,-0.0404722,20.0
19,bet Pic b,b,bet Pic,8617.50952,0.106,89.009,18.49485,3.24,1612.0,,,,1.79,8038.68,0.95281911962271,1.54416,0.0165,-0.21,19.7442,50.6231,82.614613,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Imaging,2008,2009-01,1,0,0,4,86.8212337,-51.066148,258.36341,-30.61167,0.67254,-0.67254,0.0,0.03,-0.03,0.0,,,0.0,0.0045,-0.0045,0.0,0.132,-0.1303,0.333881,-0.333881,10.018
20,51 Eri b,b,51 Eri,11688.0,0.45,133.0,13.4,1.45,700.0,,,,1.75,7295.0,0.85,1.48726,0.02,-0.027,29.7575,33.577,77.7287954,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,Imaging,2015,2015-00,1,0,0,6,69.4007424,-2.4738245,198.61297,-30.65764,,,0.0,0.05,-0.05,0.0,0.0454337,-0.0550789,0.0,0.006,-0.006,0.0,0.1213,-0.1203,0.135431,-0.135431,13.2
21,VHS J125601.92-125723.9 b,b,VHS J125601.92-125723.9,5800000.0,0.68,24.0,13.675,10.9,1194.0,,,,0.07,2620.0,-3.14,,0.14,,12.7,78.8,338.9409978,<a refstr=DUPUY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.1688D/abstract target=ref>Dupuy et al. 2023</a>,Imaging,2015,2015-05,0,0,0,4,194.008964,-12.956031,304.67123,49.90019,,,0.0,0.019,-0.014,0.0,,,,,,0.0,1.0,-1.0,6.4,-6.4,350.0
22,GQ Lup b,b,GQ Lup,,,,33.6,0.921,2650.0,,,,0.7,4360.0,-0.0723898966143153,1.94153,0.001,-0.35,151.169,6.58678,27.5688043,<a refstr=NEUHAEUSER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A%26A...484..281N/abstract target=ref> Neuh&auml;user et al. 2008 </a>,Imaging,2004,2005-05,0,0,0,1,237.3003643,-35.6515055,338.9253,14.51078,5.6,-5.6,0.0,,,0.0,,,0.0,0.001,-0.001,0.0,1.096,-1.081,0.0472756,-0.0472756,100.0
23,PDS 70 c,c,PDS 70,,0.11,132.0,22.866,0.292,995.0,,,,0.76,3972.0,-0.488529214244362,1.0631576,0.005,-0.11,113.064,8.81593,38.0431872,<a refstr=WANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..263W/abstract target=ref>Wang et al. 2020</a>,Imaging,2019,2019-06,0,0,0,1,212.0421402,-41.3980405,318.06196,19.20844,6.837,-5.044,0.0,0.02,-0.02,0.0,0.036471,-0.112212,0.0,0.001,-0.001,0.0,0.523,-0.519,0.0404722,-0.0404722,34.0
24,bet Pic c,c,bet Pic,1192.77951,0.314,88.947,12.5,9.07,,,,,1.79,7890.0,0.958,2.0116005,0.023,-0.21,19.7442,50.6231,82.614613,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,Radial Velocity,2019,2019-08,1,0,0,0,86.8212337,-51.066148,258.36341,-30.61167,,,0.0,0.03,-0.03,0.0,0.172099,-0.150008,0.0,,,0.0,0.132,-0.1303,0.333881,-0.333881,2.68
25,2MASS J12073346-3932539 b,b,2MASS J12073346-3932539,,,,12.9,4.07,1250.0,,,,0.02,2825.0,-2.56085685784885,0.21887,0.008,,64.308,15.5242,68.3315134,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,Imaging,2004,2004-10,0,0,0,1,181.8890906,-39.5484399,293.79011,22.54309,,,0.0,,,0.0,0.006976,-0.006976,0.0,0.004,-0.003,0.0,0.6569,-0.644,0.156079,-0.156079,55.0
26,TOI-5704 b,b,TOI-5704,3.771116,,88.94,3.227,1.72,949.07,125.06433293716,0.164767303135846,2.3375061149659,0.73,4590.0,-0.639265378494127,0.76,,0.428,89.637,11.1273,49.8758414,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,Transit,2023,2023-01,0,0,0,0,169.8248694,44.9890782,162.7089,64.37164,0.187,-0.14,0.0,0.08,-0.08,0.0,0.06,-0.06,0.0,,,,0.2702,-0.2687,0.0332793,-0.0332793,
27,HD 23472 d,d,HD 23472,3.97664,0.07,87.95,0.75,7.5,909.0,117.0,0.0142,1.99,0.67,4684.0,-0.625,0.71,,-0.2,39.0341,25.5897,111.5773854,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,Transit,2022,2022-09,1,0,0,0,55.4590314,-62.7672667,277.0269,-44.84798,0.067,-0.057,0.0,0.03,-0.03,0.0,0.02,-0.02,0.0,,,,0.0401,-0.04,0.0260766,-0.0260766,0.04298
28,TOI-672 b,b,TOI-672,3.633575,,88.43,5.26,0.91,676.15,33.4742849468177,0.865956899295867,1.78090766973933,0.54,3765.0,-1.32054938983531,0.54,,-0.71,66.9071,14.9172,113.2837986,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,Transit,2023,2023-01,0,0,0,0,167.9908627,-39.3281151,282.7301,19.60977,0.083,-0.099,0.0,0.02,-0.02,0.0,0.02,-0.02,0.0,,,,0.15285,-0.15285,0.0338933,-0.0338933,
29,TOI-199 b,b,TOI-199,104.854,0.09,90.0,9.079,0.397,358.0,2.75278,1.2183,6.554,0.94,5255.0,-0.338,0.82,0.8,0.22,102.27,9.74907,74.1998185,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,Transit,2023,2023-09,0,0,0,0,80.1058735,-59.8954326,268.76577,-34.55037,0.056,-0.056,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,1.2,-0.6,0.0,0.191,-0.19,0.0180567,-0.0180567,0.4254
30,TOI-199 c,c,TOI-199,273.69,0.096,90.0,11.4,0.33,,,,,0.94,5255.0,-0.338,0.82,0.8,0.22,102.27,9.74907,74.1998185,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,Transit Timing Variations,2023,2023-09,0,0,0,0,80.1058735,-59.8954326,268.76577,-34.55037,,,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,1.2,-0.6,0.0,0.191,-0.19,0.0180567,-0.0180567,0.807
31,KELT-18 b,b,KELT-18,2.8717518,0.0,88.86,17.598,0.377,2085.0,3152.0,0.716,4.644,1.52,6670.0,0.813,1.91,1.9,0.09,321.376,3.08284,20.4082171,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,Transit,2017,2017-06,0,0,0,0,216.5238248,59.4442735,102.71473,53.81036,0.471,-0.404,0.0,0.07,-0.07,0.0,0.04,-0.04,0.0,0.2,-0.2,0.0,2.509,-2.47,0.0239248,-0.0239248,0.0455
32,TOI-2096 c,c,TOI-2096,6.38784,0.1,89.56,1.914,3.39,349.0,3.7,0.636,1.354,0.23,3300.0,-2.228,0.23,4.0,-0.03,48.4809,20.5978,79.5009908,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,Transit,2023,2023-03,0,0,0,0,151.6186989,74.8272107,135.57433,37.96972,0.095,-0.095,0.0,0.01,-0.01,0.0,0.01,-0.01,0.0,,,-1.0,0.0982,-0.0978,0.0413973,-0.0413973,0.04
33,HIP 5158 b,b,HIP 5158,345.72,0.52,,13.6,0.985,,,,,0.78,4962.0,-0.959,0.75,6.0,0.1,51.6026,19.35,230.1580182,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>,Radial Velocity,2009,2010-03,1,0,0,0,16.5094891,-22.4536134,159.04576,-84.27097,,,0.0,0.02,-0.02,0.0,0.06,-0.06,0.0,,,1.0,0.1043,-0.1039,0.0387863,-0.0387863,0.89
34,HD 132563 b,b,HD 132563,1544.0,0.22,,13.6,1.03,,,,,1.23,6289.0,0.374,1.3,2.31,-0.06,105.155,9.48093,92.4090915,<a refstr=DESIDERA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A..90D/abstract target=ref> Desidera et al. 2011 </a>,Radial Velocity,2011,2011-09,1,1,0,0,224.5892892,44.0428571,74.89413,59.44282,,,0.0,0.22,-0.15,0.0,0.07,-0.04,0.0,1.886,-1.886,0.0,0.282,-0.282,0.0253223,-0.0253223,2.62
35,HD 20794 c,c,HD 20794,40.114,0.0,90.0,1.35,5.36,508.0,,,,0.7,5401.0,-0.163132153847872,0.92,5.76,-0.4,6.00278,166.561,3120.504737,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,Radial Velocity,2011,2011-10,1,0,0,0,49.9997666,-43.0666533,250.73443,-56.06514,,,0.0,,,0.0,0.02,-0.02,0.0,0.66,-0.66,0.0,0.00854,-0.00851,0.23478,-0.23478,0.2036
36,HD 20794 d,d,HD 20794,90.309,0.0,90.0,2.04,3.11,388.0,,,,0.7,5401.0,-0.163132153847872,0.92,5.76,-0.4,6.00278,166.561,3120.504737,<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>,Radial Velocity,2011,2011-10,1,0,0,0,49.9997666,-43.0666533,250.73443,-56.06514,,,0.0,,,0.0,0.02,-0.02,0.0,0.66,-0.66,0.0,0.00854,-0.00851,0.23478,-0.23478,0.3499
37,CHXR 73 b,b,CHXR 73,,,,12.3,11.8,,,,,0.35,3099.0,,,0.002,,190.374,5.23435,22.1935378,<a refstr=LUHMAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref> Luhman et al. 2006 </a>,Imaging,2006,2006-10,0,0,0,0,166.6193985,-77.6258725,297.2776,-15.92181,,,0.0,,,0.0,,,,,,0.0,6.647,-6.22,0.175856,-0.175856,210.0
38,alf Ari b,b,alf Ari,380.8,0.25,,13.4,1.31,,,,,1.5,4553.0,1.934,13.9,,-0.16,20.21019,49.48,240.4100663,<a refstr=LEE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.134L/abstract target=ref> Lee et al. 2011 </a>,Radial Velocity,2010,2011-05,1,1,0,0,31.793286,23.462421,144.57834,-36.20556,,,0.0,0.2,,0.0,0.3,,0.0,,,,0.404367,-0.404367,0.99,-0.99,1.2
39,Kepler-370 c,c,Kepler-370,19.02293,0.0,88.73,1.91,3.4,647.0,54.197,0.04016,3.418,0.98,5852.0,0.0060872065096549,0.9,0.4,0.132276,1167.94,0.828058,17.7179891,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,292.1710683,40.9162381,73.50995,10.94288,0.89,-0.89,0.0,0.048,-0.052,0.0,0.42,-0.42,0.0,3.2,-3.2,0.0,35.395,-35.395,0.0257265,-0.0257265,0.14
40,Kepler-400 b,b,Kepler-400,9.024389,0.0,89.97,1.65,4.11,939.0,183.39,0.02149,3.128,1.08,5886.0,0.152,1.15,3.63,0.08436,845.97,,4.907312,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,290.9444679,40.4800528,72.6919,11.58428,0.3,-0.3,0.0,0.04,-0.037,0.0,0.21,-0.21,0.0,1.58,-1.77,0.0,,,,,0.087
41,Kepler-221 b,b,Kepler-221,2.795906,0.0,85.58,1.71,3.92,1090.0,308.885,0.04028,2.064,0.816,5243.0,-0.404288558129212,0.82,4.57,0.0616056,385.231,2.56708,3.4874398,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,296.6547477,46.8352242,80.37293,10.80167,0.17,-0.17,0.0,0.033,-0.033,0.0,0.07,-0.07,0.0,3.67,-2.65,0.0,2.8335,-2.8335,0.0189485,-0.0189485,0.037
42,Kepler-367 c,c,Kepler-367,53.578637,0.0,89.16,1.2,5.95,357.0,3.761,0.02761,5.236,0.677,4710.0,-0.616711670336351,0.69,2.29,0.197365,188.027,5.2896,29.4711891,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,297.292558,49.9817499,83.40326,11.92128,0.16,-0.16,0.0,0.018,-0.018,0.0,0.04,-0.04,0.0,1.99,-0.822,0.0,0.86,-0.854,0.0240574,-0.0240574,0.253
43,Kepler-393 c,c,Kepler-393,14.613612,0.0,89.77,1.33,5.44,901.0,231.213,0.00746,5.401,1.21,6189.0,0.523936006688838,1.38,2.15,0.0321802,881.404,1.10585,11.3914196,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,290.995205,45.192188,77.06756,13.57678,0.31,-0.31,0.0,0.076,-0.062,0.0,0.26,-0.26,0.0,0.42,-0.42,0.0,14.022,-13.598,0.0176397,-0.0176397,0.124
44,Kepler-304 c,c,Kepler-304,5.315946,0.0,88.47,2.17,2.88,746.0,73.598,0.10497,1.114,0.8,4731.0,-0.661600287137952,0.69,2.09,0.05,434.684,2.2721,3.5575792,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,294.4418031,40.5575408,73.9863,9.2491,0.15,-0.15,0.0,0.02,-0.026,0.0,0.04,-0.04,0.0,1.63,-0.66,0.0,5.295,-5.171,0.0274817,-0.0274817,0.054
45,Kepler-360 b,b,Kepler-360,3.289672,0.0,89.73,1.65,4.11,1116.0,415.434,0.0246,2.312,0.95,6053.0,-0.132359712640031,1.06,3.4,0.16,876.044,1.11282,2.9201022,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,286.2847077,44.7815817,75.2999,16.46655,0.78,-0.78,0.0,0.04,-0.05,0.0,0.5,-0.5,0.0,1.9,-1.9,0.0,15.581,-15.054,0.0198052,-0.0198052,0.044
46,Kepler-243 c,c,Kepler-243,20.026218,0.0,88.43,1.99,3.22,559.0,21.72,0.04212,1.319,0.83,5228.0,-0.373373174896547,0.84,3.5,0.01,693.86,1.41254,4.790524,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,Transit,2014,2014-03,0,0,0,0,285.1104819,42.0339619,72.31271,16.2214,0.97,-0.97,0.0,0.037,-0.041,0.0,0.4,-0.4,0.0,3.8,-3.8,0.0,9.796,-9.532,0.01992,-0.01992,0.142
