,Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Proper Motion,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Error (Lower),Star Mass Error (Upper),Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Distance Error (Lower),Distance Error (Upper),Parallax Error (Lower),Parallax Error (Upper),Semi-Major Axis (AU)
732,Qatar-5 b,b,Qatar-5,2.8792319,0.0,88.74,12.408,3.95,1415.0,669.0,1.126,2.9088,1.13,5747.0,0.056,1.08,0.53,0.377,367.658,2.69255,6.573391,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,Transit,2017,2017-04,0,0,0,0,7.0539375,42.0613451,118.33015,-20.60282,0.717,-0.717,0.0,0.06,-0.06,0.0,0.05,-0.05,0.0,0.004,-0.004,0.0,8.089,-7.755,0.0581376,-0.0581376,0.04127
733,K2-179 b,b,K2-179,5.172191,,88.755,2.513,2.38,,,0.0964,1.7664,0.82,5015.0,-0.522874836647589,0.77,,0.03,190.81,5.21281,25.7068866,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,Transit,2018,2018-03,0,0,0,0,58.7967878,23.7567524,168.32281,-22.507,0.164,-0.121,0.0,0.02,-0.03,0.0,0.02,-0.02,0.0,,,,2.126,-2.08,0.0573246,-0.0573246,
734,K2-334 b,b,K2-334,5.113981,,88.58,5.65,0.829,1380.0,359.228,0.135,2.46,1.36,6502.0,0.513616275207033,1.49,,0.17,371.823,2.66126,13.2781203,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,Transit,2018,2018-07,0,0,0,0,136.4894259,16.3255146,212.37147,36.95589,0.36,-0.28,0.0,0.05,-0.05,0.0,0.07,-0.06,0.0,,,,6.528,-6.31,0.0460689,-0.0460689,
735,K2-199 c,c,K2-199,7.3744897,0.03,87.7,2.85,2.9,694.0,38.6,0.1739,2.452,0.71,4491.0,-0.733,0.68,5.04,-0.01,107.518,9.27232,61.1741013,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,Transit,2018,2018-03,0,0,0,0,208.9014508,-6.1360833,330.29727,53.29188,0.1,-0.09,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,6.12,-3.59,0.0,0.602,-0.596,0.0514418,-0.0514418,0.0662
736,K2-155 b,b,K2-155,6.342,,88.3,1.8,3.67,708.0,19.9,0.068,2.4096,0.65,4258.0,-1.22914798835786,0.58,,-0.3,72.7998,13.7077,214.7913175,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>,Transit,2018,2018-03,0,0,0,0,65.469614,21.3532633,174.74941,-19.71256,0.2,-0.1,0.0,0.06,-0.03,0.0,0.06,-0.03,0.0,,,,0.2864,-0.2841,0.05342,-0.05342,0.0562
737,K2-187 e,e,K2-187,13.606629,,90.1,1.9,3.42,698.0,,0.0748,4.0296,0.966999,5438.0,-0.209603144440121,0.83,,0.0,330.916,2.9939,32.9140281,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,Transit,2018,2018-03,0,0,0,0,132.5235618,23.1924709,202.77723,35.76402,0.3,-0.3,0.0,0.025227,-0.024169,0.0,0.11,-0.11,0.0,,,,5.727,-5.539,0.051039,-0.051039,0.1106
738,K2-375 b,b,K2-375,14.453895,,87.972204,2.243,2.76,,,0.0298,6.792,1.12,5822.0,0.396261434559292,1.54,,-0.091,696.1,1.40791,5.7561787,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,Transit,2022,2022-03,0,0,0,0,130.5013137,20.3593003,205.29926,33.07586,0.186,-0.174,0.0,0.49,-0.34,0.0,0.1,-0.1,0.0,,,,22.17,-20.865,0.0440671,-0.0440671,
739,K2-270 b,b,K2-270,1.543069,,,1.38,5.19,1203.0,,0.0286,1.644,0.85,4877.0,-0.558264625266438,0.77,,0.26,280.518,3.53616,25.669643,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,Transit,2018,2018-12,0,0,0,0,131.2665588,13.5497322,213.091,31.22796,0.11,-0.11,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,,,,2.385,-2.346,0.0298341,-0.0298341,0.0247
740,K2-387 b,b,K2-387,28.735327,,,7.322,0.591,,,1.398,2.9904,0.57,3572.0,-1.23884149875445,0.58,,0.126,266.318,3.72681,20.0672612,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,Transit,2022,2022-03,0,0,0,0,19.4418282,11.3684915,133.21362,-50.97688,0.268,-0.264,0.0,0.05,-0.05,0.0,0.02,-0.02,0.0,,,,3.722,-3.722,0.0520753,-0.0520753,
741,WASP-167 b,b,WASP-167,2.0219596,,79.9,17.71,,2329.0,3208.41,0.82,2.724,1.59,7000.0,0.897342771745506,1.79,1.29,0.1,423.552,2.33416,18.6869854,<a refstr=TEMPLE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.2743T/abstract target=ref>Temple et al. 2017</a>,Transit,2017,2017-11,0,0,0,0,196.0437932,-35.5495292,305.84592,27.25014,0.56,-0.56,0.0,0.08,-0.08,0.0,0.05,-0.05,0.0,0.36,-0.27,0.0,10.91,-10.385,0.0588558,-0.0588558,0.0365
